category_id,class_name,train_count,val_count,test_count,total_count
6,Blueberry leaf,755,41,42,838
26,Tomato leaf yellow virus,621,138,42,801
11,Peach leaf,474,130,10,614
15,Raspberry leaf,525,14,17,556
19,Strawberry leaf,316,146,30,492
21,Tomato Septoria leaf spot,274,128,24,426
22,Tomato leaf,286,87,27,400
9,Corn leaf blight,344,12,12,368
4,Bell_pepper leaf,301,11,11,323
13,Potato leaf early blight,301,0,17,318
27,Tomato mold leaf,219,60,16,295
23,Tomato leaf bacterial spot,250,16,14,280
16,Soyabean leaf,128,118,20,266
5,Bell_pepper leaf spot,247,1,15,263
25,Tomato leaf mosaic virus,117,108,36,261
18,Squash Powdery mildew leaf,238,9,9,256
2,Apple leaf,176,61,10,247
14,Potato leaf late blight,228,0,17,245
7,Cherry leaf,216,4,19,239
29,grape leaf,202,3,15,220
24,Tomato leaf late blight,152,52,14,218
20,Tomato Early blight leaf,163,30,19,212
3,Apple rust leaf,162,4,12,178
1,Apple Scab Leaf,156,2,13,171
30,grape leaf black rot,125,0,8,133
10,Corn rust leaf,100,16,11,127
8,Corn Gray leaf spot,72,0,4,76
17,Soybean leaf,15,0,0,15
12,Potato leaf,11,0,0,11
28,Tomato two spotted spider mites leaf,2,0,0,2
