epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.115,1.27248,4.34978,1.44835,0.22041,0.18354,0.06262,0.04107,1.22077,3.49371,1.31522,9.76111e-05,9.76111e-05,9.76111e-05
2,238.123,1.26657,3.88673,1.41735,0.26544,0.20053,0.14979,0.10422,1.27106,3.15622,1.37716,0.000193675,0.000193675,0.000193675
3,355.808,1.32629,3.40713,1.4617,0.21542,0.30415,0.20544,0.13315,1.29492,2.8436,1.4346,0.000287798,0.000287798,0.000287798
4,473.57,1.3298,3.09696,1.4517,0.21401,0.42385,0.22369,0.14731,1.28568,2.74713,1.44291,0.000285268,0.000285268,0.000285268
5,591.167,1.30986,2.86631,1.44169,0.29015,0.40512,0.31,0.20761,1.28435,2.43984,1.42708,0.000282358,0.000282358,0.000282358
6,708.265,1.28449,2.73979,1.4187,0.29334,0.43503,0.32001,0.21089,1.29349,2.45706,1.4465,0.000279447,0.000279447,0.000279447
7,825.535,1.25769,2.60226,1.39389,0.4588,0.4363,0.40974,0.28662,1.25462,2.07488,1.41761,0.000276536,0.000276536,0.000276536
8,942.418,1.24303,2.47878,1.3815,0.29542,0.54117,0.39334,0.2671,1.24944,2.0019,1.40315,0.000273626,0.000273626,0.000273626
9,1059.85,1.23652,2.4066,1.37118,0.37034,0.43693,0.3673,0.24725,1.3032,2.12731,1.43985,0.000270715,0.000270715,0.000270715
10,1176.82,1.22493,2.3611,1.37035,0.3121,0.52229,0.37055,0.25086,1.24294,2.08391,1.3843,0.000267805,0.000267805,0.000267805
11,1293.66,1.22497,2.31669,1.363,0.5298,0.46223,0.49386,0.34153,1.21683,1.84259,1.36766,0.000264894,0.000264894,0.000264894
12,1410.74,1.20507,2.23733,1.35323,0.36611,0.54992,0.45844,0.30306,1.26315,1.78469,1.39557,0.000261983,0.000261983,0.000261983
13,1527.74,1.19021,2.17782,1.34008,0.41506,0.53447,0.45264,0.30684,1.23413,1.86026,1.37111,0.000259073,0.000259073,0.000259073
14,1644.91,1.20887,2.15496,1.3437,0.52423,0.44788,0.45848,0.3216,1.19751,1.74795,1.33803,0.000256162,0.000256162,0.000256162
15,1761.92,1.19673,2.08233,1.33792,0.39845,0.51752,0.45266,0.30716,1.22993,1.91678,1.37133,0.000253252,0.000253252,0.000253252
16,1985.42,1.19011,2.0306,1.33293,0.46984,0.52376,0.49219,0.34529,1.21706,1.7025,1.35372,0.000250341,0.000250341,0.000250341
17,2102.64,1.16054,2.02805,1.32283,0.64058,0.44297,0.50798,0.35049,1.21647,1.68862,1.35838,0.00024743,0.00024743,0.00024743
18,2220,1.15467,1.97356,1.30807,0.47287,0.49073,0.48726,0.34025,1.20226,1.72894,1.33805,0.00024452,0.00024452,0.00024452
19,2337.19,1.16926,1.90774,1.3105,0.50351,0.52402,0.51154,0.36213,1.21028,1.75167,1.33647,0.000241609,0.000241609,0.000241609
20,2454.45,1.17025,1.88308,1.31244,0.51639,0.50291,0.52696,0.36932,1.23051,1.82799,1.36258,0.000238699,0.000238699,0.000238699
21,2571.23,1.16467,1.87132,1.31524,0.43848,0.53909,0.51333,0.3592,1.21325,1.69122,1.35547,0.000235788,0.000235788,0.000235788
22,2687.71,1.16825,1.83985,1.31001,0.47658,0.55457,0.54654,0.37554,1.21213,1.74741,1.35731,0.000232877,0.000232877,0.000232877
23,2804.18,1.15001,1.83525,1.30301,0.63471,0.43393,0.54061,0.37413,1.22436,1.74216,1.35516,0.000229967,0.000229967,0.000229967
24,2921.32,1.14306,1.80257,1.3003,0.55111,0.52752,0.52875,0.36742,1.21449,1.71689,1.36066,0.000227056,0.000227056,0.000227056
25,3038.05,1.1388,1.77125,1.2927,0.45098,0.58277,0.53836,0.37111,1.226,1.67928,1.3568,0.000224146,0.000224146,0.000224146
26,3154.69,1.12976,1.74147,1.29449,0.49143,0.5263,0.50725,0.35264,1.22318,1.61883,1.36022,0.000221235,0.000221235,0.000221235
27,3271.11,1.12692,1.69574,1.28509,0.51786,0.52714,0.54757,0.37998,1.23592,1.5342,1.37135,0.000218324,0.000218324,0.000218324
28,3387.63,1.1133,1.66962,1.27504,0.45083,0.65047,0.52509,0.36088,1.23199,1.73556,1.36039,0.000215414,0.000215414,0.000215414
29,3504.18,1.10362,1.62884,1.27172,0.42095,0.62961,0.5253,0.37595,1.20323,1.74659,1.35508,0.000212503,0.000212503,0.000212503
