epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.673,1.23932,4.36121,1.4551,0.15876,0.24984,0.09787,0.06852,1.26934,3.44847,1.3829,9.77216e-05,9.77216e-05,9.77216e-05
2,333.219,1.23546,3.64829,1.43585,0.30024,0.27819,0.19282,0.12627,1.33544,2.99642,1.42,0.000193205,0.000193205,0.000193205
3,499.94,1.26067,3.15998,1.44424,0.24649,0.43681,0.26776,0.16624,1.34644,2.97503,1.42823,0.000286169,0.000286169,0.000286169
4,662.136,1.24737,2.81143,1.40374,0.31401,0.40582,0.32104,0.20846,1.32231,2.33763,1.40484,0.00028266,0.00028266,0.00028266
5,827.874,1.2123,2.58798,1.37739,0.27757,0.47825,0.31264,0.20476,1.34352,2.35792,1.443,0.00027888,0.00027888,0.00027888
6,998.677,1.18594,2.35274,1.34666,0.35345,0.41822,0.374,0.26018,1.28851,2.07341,1.39124,0.0002751,0.0002751,0.0002751
7,1168.91,1.16887,2.2097,1.32744,0.29924,0.42718,0.36707,0.24907,1.31021,2.51055,1.43239,0.00027132,0.00027132,0.00027132
8,1337.12,1.14331,2.07538,1.31389,0.33655,0.55341,0.39995,0.26327,1.31662,2.38811,1.43108,0.00026754,0.00026754,0.00026754
9,1505.12,1.12452,1.9848,1.29523,0.53785,0.41377,0.39953,0.26496,1.3156,2.11562,1.39382,0.00026376,0.00026376,0.00026376
10,1669.21,1.10806,1.80815,1.27729,0.36592,0.54476,0.42783,0.28801,1.29435,2.05802,1.38375,0.00025998,0.00025998,0.00025998
11,1832.28,1.09225,1.74227,1.2644,0.41686,0.47854,0.43411,0.28723,1.29114,2.21798,1.39109,0.0002562,0.0002562,0.0002562
12,1996.92,1.07733,1.66001,1.25168,0.37765,0.56018,0.44845,0.30552,1.28509,2.2587,1.38602,0.00025242,0.00025242,0.00025242
13,2156.61,1.05474,1.55224,1.23304,0.34284,0.51641,0.42827,0.29313,1.27403,2.1375,1.38792,0.00024864,0.00024864,0.00024864
14,2315.96,1.03441,1.50212,1.22341,0.43489,0.61247,0.4906,0.32852,1.29243,1.95273,1.38721,0.00024486,0.00024486,0.00024486
15,2563.78,1.02583,1.42673,1.20993,0.44121,0.56274,0.4913,0.33245,1.3079,1.94974,1.40193,0.00024108,0.00024108,0.00024108
16,2725.52,1.02186,1.37136,1.20142,0.47868,0.56279,0.49469,0.33146,1.26872,1.88041,1.37025,0.0002373,0.0002373,0.0002373
17,2887.27,1.0111,1.29573,1.19361,0.39346,0.60354,0.46613,0.3064,1.31558,2.6406,1.40451,0.00023352,0.00023352,0.00023352
18,3049.41,0.99283,1.26484,1.17913,0.42983,0.43779,0.44213,0.28734,1.32747,1.9768,1.40853,0.00022974,0.00022974,0.00022974
19,3209.27,0.97624,1.21495,1.16895,0.44271,0.45628,0.41311,0.273,1.32116,2.14272,1.43181,0.00022596,0.00022596,0.00022596
20,3368.7,0.96023,1.16904,1.1606,0.51625,0.47504,0.52383,0.34803,1.31924,1.90898,1.39981,0.00022218,0.00022218,0.00022218
21,3528.48,0.94273,1.11421,1.15108,0.43872,0.57321,0.52143,0.34675,1.33286,1.84292,1.42188,0.0002184,0.0002184,0.0002184
22,3688.32,0.93478,1.04752,1.14472,0.45184,0.54114,0.47648,0.31045,1.33458,1.82704,1.43717,0.00021462,0.00021462,0.00021462
23,3848.02,0.92389,1.01658,1.13056,0.48175,0.53382,0.49581,0.32905,1.32226,1.86779,1.41669,0.00021084,0.00021084,0.00021084
24,4007.48,0.91204,0.98181,1.1212,0.39578,0.58723,0.48754,0.31808,1.3406,1.82349,1.4047,0.00020706,0.00020706,0.00020706
25,4167.19,0.90202,0.93526,1.11991,0.47492,0.52983,0.50655,0.33134,1.35322,1.93718,1.42254,0.00020328,0.00020328,0.00020328
26,4385.95,0.87795,0.88427,1.09785,0.49676,0.47765,0.51837,0.34656,1.3211,1.96903,1.42276,0.0001995,0.0001995,0.0001995
27,4547.65,0.86983,0.86542,1.0976,0.56343,0.4608,0.50366,0.33636,1.34424,1.96666,1.44373,0.00019572,0.00019572,0.00019572
28,4709.42,0.8532,0.82686,1.08473,0.50125,0.47275,0.48539,0.3215,1.35315,2.06358,1.46685,0.00019194,0.00019194,0.00019194
29,4871.21,0.84467,0.80968,1.08127,0.43957,0.52704,0.48759,0.32995,1.33614,1.90951,1.44083,0.00018816,0.00018816,0.00018816
30,5032.11,0.83558,0.78217,1.0745,0.42846,0.52542,0.4865,0.32801,1.33882,1.92889,1.4545,0.00018438,0.00018438,0.00018438
31,5191.45,0.82501,0.75924,1.06158,0.51396,0.45878,0.4759,0.3251,1.34985,1.87837,1.45489,0.0001806,0.0001806,0.0001806
32,5350.95,0.81239,0.73668,1.05827,0.52005,0.49086,0.49105,0.33297,1.31803,1.99096,1.43334,0.00017682,0.00017682,0.00017682
33,5511.96,0.81151,0.71158,1.0593,0.47959,0.48037,0.49625,0.33315,1.3442,1.97755,1.45094,0.00017304,0.00017304,0.00017304
34,5673.13,0.79519,0.68762,1.04525,0.4938,0.45915,0.47761,0.32275,1.31371,1.953,1.446,0.00016926,0.00016926,0.00016926
35,5835.09,0.78076,0.66175,1.0359,0.53292,0.49744,0.4966,0.33174,1.33941,2.00137,1.44879,0.00016548,0.00016548,0.00016548
36,5999.02,0.77554,0.64708,1.03052,0.46701,0.53919,0.49545,0.33302,1.33955,1.91568,1.45764,0.0001617,0.0001617,0.0001617
37,6160.02,0.76632,0.63466,1.02878,0.4815,0.51072,0.48977,0.32655,1.32759,1.97069,1.4545,0.00015792,0.00015792,0.00015792
38,6320.85,0.75187,0.62321,1.02299,0.5291,0.43314,0.46499,0.31953,1.33696,1.97246,1.47325,0.00015414,0.00015414,0.00015414
39,6481.48,0.74047,0.60369,1.00978,0.4638,0.54013,0.48775,0.33442,1.33701,2.04037,1.45663,0.00015036,0.00015036,0.00015036
40,6641.5,0.72876,0.58457,1.00782,0.51656,0.51135,0.47135,0.3191,1.35719,2.1242,1.48329,0.00014658,0.00014658,0.00014658
41,6800.57,0.71805,0.56327,0.99936,0.47138,0.52483,0.48833,0.32982,1.32836,2.0256,1.44675,0.0001428,0.0001428,0.0001428
42,6959.66,0.71544,0.57184,0.99555,0.51888,0.47027,0.48512,0.33013,1.34217,2.00131,1.45573,0.00013902,0.00013902,0.00013902
