epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,128.709,1.30191,4.36749,1.46982,0.02059,0.70174,0.05098,0.03391,1.22791,3.58811,1.30795,9.75758e-05,9.75758e-05,9.75758e-05
2,255.832,1.25182,3.89195,1.40542,0.41993,0.13605,0.12607,0.09079,1.22517,3.31132,1.3622,0.00019364,0.00019364,0.00019364
3,378.991,1.32275,3.4579,1.45087,0.2761,0.32346,0.21492,0.15197,1.26284,2.82618,1.40006,0.000287763,0.000287763,0.000287763
4,500.462,1.31681,3.09565,1.44201,0.31916,0.33129,0.22926,0.15783,1.25275,2.74058,1.41761,0.000285268,0.000285268,0.000285268
5,622.246,1.30412,2.89384,1.44484,0.27447,0.4467,0.29072,0.20869,1.24069,2.52357,1.41012,0.000282358,0.000282358,0.000282358
6,752.999,1.2981,2.73756,1.43024,0.28453,0.44472,0.32722,0.2232,1.25693,2.2958,1.40837,0.000279447,0.000279447,0.000279447
7,884.587,1.2861,2.61483,1.40463,0.36589,0.49239,0.39055,0.26687,1.22508,2.3874,1.37255,0.000276536,0.000276536,0.000276536
8,1019.06,1.25752,2.55294,1.40143,0.33592,0.44676,0.38865,0.26792,1.24242,2.23632,1.39005,0.000273626,0.000273626,0.000273626
9,1149.7,1.25627,2.44525,1.38815,0.41371,0.51599,0.46471,0.3272,1.21564,2.20949,1.3655,0.000270715,0.000270715,0.000270715
10,1278.55,1.22682,2.38702,1.36767,0.3848,0.50121,0.41331,0.2928,1.21319,2.02879,1.37174,0.000267805,0.000267805,0.000267805
11,1408.5,1.23328,2.31034,1.36397,0.38784,0.49869,0.43315,0.3161,1.19428,2.09134,1.34318,0.000264894,0.000264894,0.000264894
12,1536.57,1.21833,2.26587,1.35298,0.43358,0.51312,0.47932,0.33183,1.20444,1.9246,1.35249,0.000261983,0.000261983,0.000261983
13,1657.49,1.20415,2.19784,1.34357,0.43643,0.53918,0.50861,0.36109,1.21685,1.79406,1.35633,0.000259073,0.000259073,0.000259073
14,1788.74,1.20184,2.11923,1.3369,0.39905,0.53745,0.45931,0.32473,1.21249,1.95737,1.36626,0.000256162,0.000256162,0.000256162
15,1919.57,1.1974,2.10271,1.3352,0.58441,0.45953,0.51564,0.37319,1.20079,1.78949,1.34384,0.000253252,0.000253252,0.000253252
16,2056.34,1.18642,2.0761,1.33607,0.44233,0.61659,0.54022,0.39429,1.19425,1.81305,1.34899,0.000250341,0.000250341,0.000250341
17,2192.99,1.19387,1.99425,1.32174,0.46796,0.55019,0.51448,0.37199,1.20606,1.80176,1.35691,0.00024743,0.00024743,0.00024743
18,2331.51,1.18343,1.96554,1.31892,0.45346,0.56515,0.49962,0.36059,1.21572,1.87831,1.35472,0.00024452,0.00024452,0.00024452
19,2463.41,1.18004,1.94793,1.32305,0.53335,0.43849,0.46422,0.32471,1.23149,1.88765,1.36847,0.000241609,0.000241609,0.000241609
20,2593.88,1.16973,1.92094,1.32357,0.50854,0.49941,0.50307,0.36709,1.18088,1.83037,1.34403,0.000238699,0.000238699,0.000238699
21,2723.56,1.17991,1.88847,1.30762,0.48603,0.57325,0.52609,0.38677,1.18648,1.97057,1.337,0.000235788,0.000235788,0.000235788
22,2851.03,1.16134,1.8504,1.3085,0.54953,0.49899,0.51252,0.3715,1.20335,1.9782,1.34776,0.000232877,0.000232877,0.000232877
23,2981.2,1.1491,1.79896,1.29392,0.6064,0.47152,0.54832,0.39099,1.17713,1.7397,1.32888,0.000229967,0.000229967,0.000229967
24,3108.06,1.14729,1.77573,1.29826,0.48994,0.52795,0.50578,0.36499,1.19401,1.8082,1.32202,0.000227056,0.000227056,0.000227056
25,3240.84,1.14941,1.75186,1.29961,0.63803,0.49335,0.57398,0.42011,1.18826,1.7299,1.33873,0.000224146,0.000224146,0.000224146
26,3370.33,1.11614,1.74142,1.28259,0.53572,0.53161,0.58372,0.42277,1.17478,1.73219,1.32214,0.000221235,0.000221235,0.000221235
27,3496.62,1.15187,1.69744,1.28797,0.39737,0.61603,0.51184,0.374,1.17546,1.78877,1.32853,0.000218324,0.000218324,0.000218324
28,3623.24,1.12155,1.68173,1.28301,0.53644,0.55311,0.5796,0.42511,1.17807,1.59442,1.31682,0.000215414,0.000215414,0.000215414
29,3750.43,1.13599,1.68041,1.28836,0.60438,0.54646,0.58036,0.42325,1.18794,1.61816,1.34489,0.000212503,0.000212503,0.000212503
30,3876.87,1.13079,1.63623,1.28021,0.45701,0.60233,0.55445,0.40237,1.17621,1.67344,1.33983,0.000209593,0.000209593,0.000209593
31,4001.59,1.12149,1.63615,1.27653,0.55349,0.58751,0.58919,0.43395,1.19201,1.75694,1.33364,0.000206682,0.000206682,0.000206682
32,4121.75,1.11665,1.62694,1.27272,0.52819,0.54353,0.56158,0.40824,1.18458,1.77779,1.33089,0.000203771,0.000203771,0.000203771
33,4242.92,1.11777,1.58984,1.27301,0.72666,0.49985,0.60189,0.44515,1.16418,1.55821,1.31019,0.000200861,0.000200861,0.000200861
34,4370.43,1.09917,1.55641,1.26049,0.54883,0.54024,0.5786,0.42003,1.18268,1.60619,1.3309,0.00019795,0.00019795,0.00019795
35,4496.86,1.11612,1.54216,1.26653,0.49692,0.6208,0.57254,0.41181,1.17118,1.70211,1.31852,0.00019504,0.00019504,0.00019504
36,4623.76,1.10928,1.52943,1.26884,0.47707,0.57545,0.56441,0.41254,1.15321,1.63672,1.30438,0.000192129,0.000192129,0.000192129
37,4750.51,1.10309,1.49782,1.25727,0.52841,0.61431,0.59391,0.43681,1.17384,1.56485,1.31448,0.000189218,0.000189218,0.000189218
38,4876.64,1.10444,1.48017,1.25332,0.4606,0.59466,0.54409,0.39079,1.18684,1.69282,1.31987,0.000186308,0.000186308,0.000186308
39,4997.06,1.07076,1.47796,1.24806,0.6581,0.53739,0.60643,0.43898,1.1924,1.53002,1.33244,0.000183397,0.000183397,0.000183397
40,5139.53,1.09284,1.46333,1.2542,0.55961,0.56138,0.55871,0.40948,1.18686,1.55555,1.32065,0.000180487,0.000180487,0.000180487
41,5269.5,1.07871,1.45002,1.24501,0.56072,0.64534,0.62906,0.4601,1.17146,1.68438,1.32855,0.000177576,0.000177576,0.000177576
42,5392.56,1.09118,1.39891,1.24615,0.51878,0.6214,0.56044,0.40871,1.16677,1.64119,1.33665,0.000174665,0.000174665,0.000174665
43,5515.1,1.0835,1.41316,1.24283,0.44371,0.63785,0.56989,0.42369,1.19595,1.60332,1.334,0.000171755,0.000171755,0.000171755
44,5637.75,1.07415,1.39429,1.23563,0.4401,0.55894,0.52387,0.38202,1.19511,1.64797,1.3429,0.000168844,0.000168844,0.000168844
45,5761.13,1.05824,1.38208,1.22842,0.5233,0.64345,0.60021,0.43684,1.19879,1.60479,1.34116,0.000165934,0.000165934,0.000165934
46,5879.91,1.08112,1.36571,1.23968,0.56688,0.57237,0.60545,0.44827,1.18667,1.61152,1.32281,0.000163023,0.000163023,0.000163023
47,5997.69,1.07125,1.35928,1.23395,0.57104,0.59096,0.59455,0.4449,1.18197,1.63568,1.31798,0.000160112,0.000160112,0.000160112
48,6118.19,1.06069,1.32543,1.22972,0.59827,0.60981,0.60267,0.43163,1.19514,1.56063,1.34608,0.000157202,0.000157202,0.000157202
49,6239.56,1.05953,1.30982,1.23131,0.45479,0.66848,0.57695,0.42594,1.18129,1.49523,1.32245,0.000154291,0.000154291,0.000154291
50,6361.16,1.06311,1.30915,1.2297,0.51392,0.52132,0.53702,0.39606,1.21543,1.6245,1.33932,0.000151381,0.000151381,0.000151381
51,6482.82,1.05825,1.30063,1.21385,0.46472,0.62883,0.60123,0.44718,1.18621,1.59868,1.32898,0.00014847,0.00014847,0.00014847
52,6602.47,1.0462,1.30019,1.2156,0.45985,0.58967,0.55312,0.41051,1.20332,1.56987,1.33114,0.000145559,0.000145559,0.000145559
53,6719.89,1.04362,1.28933,1.21768,0.54939,0.55787,0.58732,0.43448,1.17712,1.539,1.31787,0.000142649,0.000142649,0.000142649
54,6834.67,1.04663,1.24975,1.21646,0.4988,0.61887,0.58469,0.42859,1.18102,1.6176,1.31546,0.000139738,0.000139738,0.000139738
55,6947.9,1.04695,1.25812,1.21908,0.53973,0.54373,0.56542,0.41423,1.19364,1.66333,1.3336,0.000136828,0.000136828,0.000136828
56,7061.07,1.05956,1.25821,1.22335,0.5296,0.56635,0.56422,0.41514,1.19988,1.64665,1.33615,0.000133917,0.000133917,0.000133917
57,7174.43,1.03736,1.23525,1.2204,0.46586,0.65633,0.57899,0.4265,1.19036,1.64686,1.33052,0.000131006,0.000131006,0.000131006
58,7287.74,1.02588,1.21199,1.20745,0.6175,0.51968,0.57933,0.42214,1.19165,1.58198,1.33432,0.000128096,0.000128096,0.000128096
59,7400.07,1.0204,1.20649,1.19457,0.56411,0.52831,0.59204,0.44038,1.19495,1.59172,1.3264,0.000125185,0.000125185,0.000125185
60,7511.65,1.02204,1.18721,1.20526,0.56466,0.59363,0.61404,0.45263,1.18508,1.60741,1.31582,0.000122275,0.000122275,0.000122275
61,7623.31,1.02961,1.18826,1.20548,0.57257,0.57718,0.57627,0.42575,1.18429,1.60329,1.32471,0.000119364,0.000119364,0.000119364
62,7735.94,1.00751,1.16982,1.1931,0.51159,0.59746,0.59804,0.44645,1.19004,1.68499,1.32525,0.000116453,0.000116453,0.000116453
63,7848.49,1.00931,1.1557,1.19886,0.49234,0.60399,0.58863,0.43501,1.18416,1.60813,1.31351,0.000113543,0.000113543,0.000113543
64,7960.78,1.0091,1.15889,1.19679,0.47569,0.6693,0.59174,0.43669,1.18425,1.67889,1.32097,0.000110632,0.000110632,0.000110632
65,8072.79,1.01987,1.13994,1.1953,0.53039,0.57393,0.58231,0.43094,1.18765,1.5765,1.32229,0.000107722,0.000107722,0.000107722
66,8185.23,1.01341,1.1271,1.18061,0.51691,0.63755,0.57679,0.42252,1.18166,1.59427,1.32178,0.000104811,0.000104811,0.000104811
67,8297.51,0.99702,1.11111,1.18476,0.4746,0.65919,0.59172,0.44077,1.18857,1.67992,1.32699,0.0001019,0.0001019,0.0001019
68,8409.94,0.99325,1.11245,1.18422,0.54547,0.6583,0.62947,0.46228,1.18057,1.58739,1.3239,9.89898e-05,9.89898e-05,9.89898e-05
69,8522.74,0.99998,1.1043,1.1834,0.52715,0.62209,0.60882,0.44621,1.19632,1.65975,1.33059,9.60792e-05,9.60792e-05,9.60792e-05
