epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.471,1.25658,4.46983,1.4888,0.02518,0.73531,0.06551,0.04491,1.23604,3.63744,1.3795,9.76111e-05,9.76111e-05,9.76111e-05
2,236.546,1.20398,3.95795,1.41239,0.20589,0.31166,0.15379,0.10664,1.2664,3.13344,1.42921,0.00019077,0.00019077,0.00019077
3,356.482,1.22335,3.51203,1.4322,0.33076,0.3337,0.24335,0.16498,1.2856,2.73508,1.4066,0.000279077,0.000279077,0.000279077
4,475.584,1.22472,3.19874,1.42833,0.37695,0.30817,0.2755,0.1844,1.27649,2.57735,1.40598,0.000272171,0.000272171,0.000272171
5,593.92,1.20904,2.92112,1.39834,0.28442,0.38199,0.31909,0.21693,1.30904,2.51639,1.42238,0.000264894,0.000264894,0.000264894
6,709.412,1.1777,2.73986,1.37911,0.29672,0.38199,0.3258,0.2247,1.26533,2.6097,1.38279,0.000257617,0.000257617,0.000257617
7,825.623,1.15534,2.55122,1.35792,0.33369,0.50041,0.38167,0.24937,1.34781,2.20805,1.44422,0.000250341,0.000250341,0.000250341
8,944.088,1.14288,2.43443,1.34546,0.36993,0.50668,0.41651,0.28582,1.2964,2.32217,1.3969,0.000243064,0.000243064,0.000243064
9,1066.57,1.12846,2.30552,1.31674,0.27154,0.49729,0.37255,0.25344,1.27467,2.46677,1.39375,0.000235788,0.000235788,0.000235788
10,1188.38,1.1092,2.19349,1.30784,0.37314,0.47746,0.41106,0.27934,1.28467,2.16499,1.40994,0.000228511,0.000228511,0.000228511
11,1310.87,1.08911,2.08972,1.28869,0.43031,0.54395,0.49227,0.33713,1.24851,2.19375,1.39709,0.000221235,0.000221235,0.000221235
12,1426.18,1.08015,2.01023,1.27287,0.48595,0.39936,0.41204,0.26733,1.3244,2.13028,1.42334,0.000213958,0.000213958,0.000213958
13,1542.27,1.05232,1.89348,1.25995,0.4463,0.49936,0.4478,0.30087,1.28917,2.16028,1.39737,0.000206682,0.000206682,0.000206682
14,1659.78,1.03934,1.84942,1.24881,0.44349,0.56064,0.47309,0.32457,1.24644,1.84815,1.39714,0.000199406,0.000199406,0.000199406
15,1775.12,1.03082,1.76906,1.23847,0.40825,0.60138,0.49046,0.33622,1.26031,2.00629,1.39021,0.000192129,0.000192129,0.000192129
16,1891.75,1.01266,1.69622,1.22684,0.45536,0.52129,0.47567,0.32212,1.25729,2.1668,1.3868,0.000184853,0.000184853,0.000184853
17,2009.53,1.00306,1.64259,1.21605,0.45484,0.57549,0.52518,0.35834,1.26986,1.97236,1.39328,0.000177576,0.000177576,0.000177576
18,2127.71,1.00127,1.55407,1.21598,0.41208,0.56837,0.48213,0.32026,1.28426,2.05194,1.40165,0.000170299,0.000170299,0.000170299
19,2245.67,0.97482,1.50612,1.19205,0.40812,0.55249,0.49162,0.33955,1.25662,1.95769,1.37757,0.000163023,0.000163023,0.000163023
20,2361.12,0.97031,1.44306,1.18392,0.42118,0.53784,0.49648,0.33728,1.27129,2.00899,1.39997,0.000155747,0.000155747,0.000155747
21,2476.72,0.96536,1.39266,1.1843,0.47676,0.53299,0.49502,0.33927,1.24053,1.87823,1.37152,0.00014847,0.00014847,0.00014847
22,2594.77,0.9425,1.31896,1.17042,0.4281,0.55405,0.51218,0.35289,1.27414,1.91686,1.4069,0.000141193,0.000141193,0.000141193
23,2711.23,0.92886,1.29639,1.1597,0.56432,0.48341,0.53425,0.36065,1.26133,2.04951,1.38716,0.000133917,0.000133917,0.000133917
24,2829.89,0.921,1.26836,1.15305,0.49764,0.45411,0.48446,0.33249,1.26199,2.11952,1.39456,0.000126641,0.000126641,0.000126641
