epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,163.362,0.6171,0.52597,0.94921,0.46306,0.51878,0.51891,0.36058,1.30398,2.14583,1.46273,9.77216e-05,9.77216e-05,9.77216e-05
2,323.453,0.64081,0.56289,0.96068,0.54892,0.49109,0.49683,0.34235,1.30806,2.03215,1.4736,0.000186033,0.000186033,0.000186033
3,482.787,0.67013,0.6008,0.97583,0.48932,0.49284,0.44736,0.30522,1.31037,1.98446,1.47886,0.000264643,0.000264643,0.000264643
4,642.145,0.67956,0.62569,0.9789,0.47152,0.47731,0.44334,0.29219,1.33867,2.29967,1.50305,0.000250341,0.000250341,0.000250341
5,801.019,0.66818,0.60058,0.9729,0.48252,0.58251,0.49877,0.33972,1.3273,2.06419,1.49205,0.000235788,0.000235788,0.000235788
6,958.538,0.65575,0.58278,0.96587,0.50344,0.54401,0.52732,0.36329,1.30835,1.96442,1.49813,0.000221235,0.000221235,0.000221235
7,1116.06,0.64171,0.55183,0.9566,0.45135,0.52349,0.50419,0.33619,1.31428,2.05227,1.49546,0.000206682,0.000206682,0.000206682
8,1273.76,0.61873,0.52682,0.94765,0.4926,0.5521,0.49184,0.33157,1.32269,2.2254,1.49858,0.000192129,0.000192129,0.000192129
9,1433.62,0.60311,0.50604,0.93958,0.49383,0.5583,0.50841,0.3433,1.30512,2.04442,1.49289,0.000177576,0.000177576,0.000177576
10,1592.58,0.59528,0.49083,0.93376,0.52731,0.50074,0.53602,0.36139,1.30765,2.11037,1.47489,0.000163023,0.000163023,0.000163023
11,1751.92,0.57836,0.48059,0.9284,0.43638,0.52028,0.46881,0.31929,1.32465,2.10338,1.49887,0.00014847,0.00014847,0.00014847
12,1911.01,0.55943,0.46312,0.9157,0.50082,0.50983,0.50636,0.3471,1.31271,2.15906,1.50213,0.000133917,0.000133917,0.000133917
13,2070.17,0.54507,0.45192,0.90923,0.45452,0.52297,0.48168,0.32907,1.31058,2.0693,1.52008,0.000119364,0.000119364,0.000119364
14,2229.1,0.53037,0.43444,0.905,0.53289,0.51578,0.51687,0.34955,1.31156,2.03149,1.50462,0.000104811,0.000104811,0.000104811
15,2388.14,0.51407,0.41811,0.8969,0.46064,0.56408,0.48241,0.33227,1.29083,2.10378,1.49521,9.0258e-05,9.0258e-05,9.0258e-05
16,2547.26,0.49562,0.40426,0.89047,0.43557,0.60766,0.52455,0.36069,1.30856,2.13057,1.51502,7.5705e-05,7.5705e-05,7.5705e-05
17,2706.51,0.48051,0.39206,0.88078,0.56322,0.50605,0.51602,0.34402,1.30709,2.03372,1.52088,6.1152e-05,6.1152e-05,6.1152e-05
18,2865.77,0.46876,0.38523,0.87722,0.52325,0.54003,0.53021,0.3589,1.30724,2.02594,1.52287,4.6599e-05,4.6599e-05,4.6599e-05
19,3025.13,0.45851,0.37869,0.8729,0.54668,0.5454,0.53388,0.35849,1.31395,2.04047,1.53722,3.2046e-05,3.2046e-05,3.2046e-05
20,3183.55,0.44641,0.36818,0.86844,0.52444,0.52965,0.51198,0.35254,1.2999,2.06377,1.52772,1.7493e-05,1.7493e-05,1.7493e-05
