epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.048,1.27652,3.41824,1.5659,0.33225,0.43211,0.22894,0.15127,1.29798,2.95195,1.4705,9.72222e-05,9.72222e-05,9.72222e-05
2,208.018,1.28205,2.65576,1.53368,0.2389,0.36601,0.19325,0.12526,1.42045,2.74808,1.66812,0.000192712,0.000192712,0.000192712
3,313.375,1.30963,2.47146,1.5367,0.3317,0.37519,0.23794,0.15082,1.35737,2.79247,1.58353,0.000285682,0.000285682,0.000285682
4,420.76,1.29743,2.41078,1.53602,0.24046,0.36465,0.26771,0.17359,1.37084,2.33351,1.56427,0.00028266,0.00028266,0.00028266
5,526.348,1.2803,2.27421,1.50472,0.41873,0.2629,0.27347,0.16897,1.3515,2.48361,1.60434,0.00027888,0.00027888,0.00027888
6,630.608,1.23996,2.1213,1.47768,0.24855,0.47513,0.3039,0.19124,1.39948,2.31086,1.59338,0.0002751,0.0002751,0.0002751
7,745.463,1.22716,2.00018,1.47777,0.28488,0.49128,0.3841,0.2497,1.33454,2.09542,1.55095,0.00027132,0.00027132,0.00027132
8,855.766,1.21171,1.88917,1.46383,0.27878,0.48857,0.33972,0.21476,1.37592,2.12002,1.57942,0.00026754,0.00026754,0.00026754
9,967.896,1.18951,1.81663,1.44483,0.36002,0.47324,0.40982,0.28097,1.29374,1.98895,1.55508,0.00026376,0.00026376,0.00026376
10,1094.78,1.19018,1.7641,1.44127,0.49989,0.47274,0.45263,0.29785,1.30611,1.94755,1.56417,0.00025998,0.00025998,0.00025998
11,1215.65,1.1622,1.71633,1.43508,0.3615,0.47335,0.39849,0.2721,1.27987,1.81546,1.50403,0.0002562,0.0002562,0.0002562
12,1329.02,1.14992,1.62463,1.41401,0.42997,0.5359,0.44195,0.28665,1.33011,1.90245,1.56746,0.00025242,0.00025242,0.00025242
13,1441.01,1.12108,1.55905,1.39277,0.44168,0.46247,0.44519,0.3024,1.32445,1.88973,1.55288,0.00024864,0.00024864,0.00024864
14,1568.69,1.11642,1.53743,1.38527,0.39405,0.54314,0.50547,0.34087,1.31934,1.71481,1.56654,0.00024486,0.00024486,0.00024486
15,1698.83,1.09525,1.46106,1.37695,0.4472,0.52003,0.42175,0.2827,1.2901,1.82693,1.55283,0.00024108,0.00024108,0.00024108
16,1804.83,1.08829,1.42513,1.36787,0.38159,0.50435,0.45891,0.31675,1.33231,1.89457,1.58665,0.0002373,0.0002373,0.0002373
17,1918.59,1.07278,1.38911,1.35999,0.46947,0.49613,0.47021,0.31249,1.31056,1.83502,1.54997,0.00023352,0.00023352,0.00023352
18,2032.59,1.062,1.36803,1.34559,0.40379,0.52051,0.45973,0.30072,1.32627,1.82094,1.56744,0.00022974,0.00022974,0.00022974
19,2143.28,1.03513,1.28721,1.33067,0.42184,0.48581,0.45698,0.31328,1.26646,1.8009,1.52711,0.00022596,0.00022596,0.00022596
20,2255.99,1.02203,1.21559,1.31536,0.52043,0.53755,0.51727,0.35051,1.314,1.62367,1.57344,0.00022218,0.00022218,0.00022218
21,2378.38,1.02391,1.18939,1.31212,0.4463,0.57225,0.52836,0.35796,1.29305,1.64813,1.55544,0.0002184,0.0002184,0.0002184
22,2501.76,1.00978,1.13823,1.30157,0.46725,0.53262,0.52474,0.35942,1.28063,1.56287,1.57317,0.00021462,0.00021462,0.00021462
23,2624.27,0.98777,1.13037,1.29152,0.56142,0.49046,0.53925,0.37012,1.30964,1.68012,1.56316,0.00021084,0.00021084,0.00021084
24,2745.92,0.98204,1.10269,1.2854,0.4123,0.49168,0.45673,0.30532,1.31469,1.87809,1.56643,0.00020706,0.00020706,0.00020706
25,2860.67,0.96253,1.05941,1.26731,0.59062,0.51388,0.56553,0.39385,1.26465,1.53847,1.5508,0.00020328,0.00020328,0.00020328
26,2987.44,0.96659,1.03397,1.26926,0.45702,0.57284,0.54716,0.36338,1.32314,1.55894,1.60219,0.0001995,0.0001995,0.0001995
27,3100.67,0.95357,0.94775,1.26617,0.3934,0.6048,0.53609,0.35579,1.31625,1.66334,1.59908,0.00019572,0.00019572,0.00019572
28,3213.32,0.92457,0.94673,1.23511,0.41133,0.50078,0.48605,0.33782,1.27931,1.68907,1.55894,0.00019194,0.00019194,0.00019194
29,3331.09,0.92255,0.89428,1.23781,0.45618,0.60843,0.57453,0.40665,1.27686,1.54496,1.56311,0.00018816,0.00018816,0.00018816
30,3453.48,0.9053,0.84596,1.21918,0.55688,0.51259,0.54522,0.37774,1.30838,1.7191,1.6247,0.00018438,0.00018438,0.00018438
31,3568.23,0.89635,0.85838,1.21859,0.52435,0.53383,0.54541,0.36979,1.32283,1.60825,1.6207,0.0001806,0.0001806,0.0001806
32,3681.81,0.87593,0.80601,1.20285,0.56092,0.53074,0.59429,0.40781,1.29861,1.58307,1.58477,0.00017682,0.00017682,0.00017682
33,3803.34,0.86813,0.77604,1.19428,0.4937,0.55965,0.56925,0.37868,1.32588,1.64699,1.64616,0.00017304,0.00017304,0.00017304
34,3920.42,0.85748,0.77401,1.18416,0.48292,0.53707,0.55239,0.39501,1.2894,1.66793,1.58054,0.00016926,0.00016926,0.00016926
35,4033.15,0.84211,0.72786,1.1751,0.56277,0.51356,0.55579,0.38349,1.33524,1.71299,1.63785,0.00016548,0.00016548,0.00016548
36,4146.97,0.83062,0.69373,1.16039,0.44357,0.63714,0.52701,0.36324,1.30456,1.66787,1.61656,0.0001617,0.0001617,0.0001617
37,4260.85,0.82006,0.66202,1.1559,0.44988,0.55293,0.51459,0.35771,1.28656,1.78304,1.63481,0.00015792,0.00015792,0.00015792
38,4372.82,0.80442,0.64566,1.14184,0.47776,0.5675,0.53373,0.36794,1.28848,1.75116,1.60661,0.00015414,0.00015414,0.00015414
39,4487.69,0.78345,0.60734,1.12693,0.49899,0.52488,0.51325,0.35722,1.31519,1.72204,1.64312,0.00015036,0.00015036,0.00015036
40,4601.35,0.78175,0.60479,1.12734,0.46102,0.63174,0.53705,0.37367,1.28983,1.61219,1.62803,0.00014658,0.00014658,0.00014658
41,4713.5,0.77159,0.58272,1.12507,0.48033,0.60644,0.53722,0.3673,1.30071,1.67938,1.62184,0.0001428,0.0001428,0.0001428
42,4829.89,0.75165,0.56485,1.10272,0.50452,0.5761,0.53917,0.38042,1.29429,1.64213,1.63605,0.00013902,0.00013902,0.00013902
43,4944.89,0.73658,0.53985,1.09345,0.58345,0.49411,0.54628,0.3768,1.29798,1.69337,1.65754,0.00013524,0.00013524,0.00013524
44,5057.18,0.72406,0.51103,1.08352,0.57831,0.55136,0.58234,0.41304,1.27579,1.62536,1.62497,0.00013146,0.00013146,0.00013146
45,5180.56,0.70824,0.50027,1.07797,0.50096,0.49338,0.49622,0.34292,1.32315,1.7931,1.6735,0.00012768,0.00012768,0.00012768
46,5294.31,0.70407,0.4886,1.06969,0.57644,0.56637,0.60049,0.42686,1.30681,1.67749,1.67322,0.0001239,0.0001239,0.0001239
47,5415,0.68126,0.47077,1.0547,0.5898,0.59668,0.60271,0.42455,1.28992,1.623,1.66794,0.00012012,0.00012012,0.00012012
48,5527.87,0.67893,0.46518,1.04538,0.53497,0.60045,0.58495,0.41614,1.30541,1.79931,1.66859,0.00011634,0.00011634,0.00011634
49,5641.59,0.65749,0.43563,1.03713,0.5068,0.59422,0.55091,0.38545,1.29423,1.74682,1.66966,0.00011256,0.00011256,0.00011256
50,5753.3,0.64942,0.4177,1.02844,0.58537,0.53809,0.55808,0.38899,1.30094,1.76799,1.68128,0.00010878,0.00010878,0.00010878
51,5867.64,0.64059,0.40851,1.02423,0.59856,0.55129,0.58059,0.41176,1.27372,1.7165,1.65103,0.000105,0.000105,0.000105
