epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.1569,1.32198,3.36744,1.47856,0.2555,0.39944,0.23804,0.16546,1.25961,2.71744,1.45861,9.67273e-05,9.67273e-05,9.67273e-05
2,124.767,1.26724,2.27713,1.37001,0.25406,0.4514,0.26107,0.18338,1.30464,2.85762,1.5141,0.000192799,0.000192799,0.000192799
3,174.194,1.27674,2.16438,1.38866,0.29544,0.4786,0.35233,0.23786,1.31048,2.17773,1.52501,0.000286931,0.000286931,0.000286931
4,222.995,1.26504,2.06279,1.38053,0.33161,0.45106,0.33014,0.21321,1.40043,2.89335,1.53687,0.000285268,0.000285268,0.000285268
5,271.691,1.25599,1.97257,1.38153,0.42175,0.44363,0.35121,0.2335,1.31109,2.10687,1.49428,0.000282358,0.000282358,0.000282358
6,320.31,1.24526,1.90758,1.36466,0.4462,0.38794,0.35114,0.24431,1.31088,2.08236,1.50862,0.000279447,0.000279447,0.000279447
7,371.662,1.21433,1.80503,1.3429,0.44458,0.41986,0.45187,0.32331,1.25231,2.01515,1.45456,0.000276536,0.000276536,0.000276536
8,425.987,1.20647,1.71101,1.3287,0.39726,0.51579,0.4392,0.30812,1.29897,1.92794,1.48881,0.000273626,0.000273626,0.000273626
9,474.254,1.20322,1.71285,1.33795,0.41518,0.59154,0.48225,0.34654,1.26564,1.7861,1.44212,0.000270715,0.000270715,0.000270715
10,525.734,1.1826,1.6174,1.32062,0.48203,0.55195,0.57615,0.40611,1.27456,1.57599,1.43964,0.000267805,0.000267805,0.000267805
11,581.374,1.18305,1.57824,1.32158,0.47197,0.45916,0.47232,0.33828,1.26089,1.90378,1.44874,0.000264894,0.000264894,0.000264894
12,629.667,1.17293,1.58487,1.31351,0.51376,0.53387,0.51238,0.36651,1.25187,1.702,1.41664,0.000261983,0.000261983,0.000261983
13,678.355,1.14509,1.47545,1.30479,0.63784,0.52803,0.56302,0.40714,1.23127,1.69255,1.41635,0.000259073,0.000259073,0.000259073
14,729.139,1.14494,1.44212,1.3005,0.5198,0.58303,0.56473,0.41104,1.2422,1.61098,1.42552,0.000256162,0.000256162,0.000256162
15,782.84,1.14401,1.43318,1.29318,0.42923,0.63497,0.5628,0.41388,1.22172,1.73889,1.39261,0.000253252,0.000253252,0.000253252
16,836.742,1.13946,1.39163,1.29698,0.51484,0.61239,0.61929,0.45072,1.22459,1.50526,1.43962,0.000250341,0.000250341,0.000250341
17,891.122,1.1327,1.35229,1.28329,0.55654,0.47646,0.53901,0.3985,1.23593,1.65056,1.41069,0.00024743,0.00024743,0.00024743
18,938.887,1.09507,1.31803,1.26439,0.56957,0.4876,0.57378,0.41329,1.26015,1.5994,1.44655,0.00024452,0.00024452,0.00024452
19,987.296,1.10092,1.30298,1.26965,0.57209,0.53733,0.60492,0.4531,1.21436,1.55867,1.43341,0.000241609,0.000241609,0.000241609
20,1041.85,1.08536,1.28109,1.26302,0.40402,0.64592,0.55745,0.40434,1.24813,1.5365,1.44105,0.000238699,0.000238699,0.000238699
21,1090.57,1.09562,1.20551,1.25679,0.6065,0.55286,0.62512,0.4545,1.24167,1.47067,1.43866,0.000235788,0.000235788,0.000235788
22,1144.32,1.08542,1.21291,1.25902,0.53013,0.59721,0.61818,0.45229,1.21006,1.43264,1.38896,0.000232877,0.000232877,0.000232877
23,1193.08,1.07806,1.19126,1.25168,0.52474,0.67248,0.6262,0.45582,1.21055,1.40301,1.41397,0.000229967,0.000229967,0.000229967
24,1246.66,1.0706,1.1542,1.2459,0.5464,0.58195,0.5693,0.41843,1.23229,1.58409,1.41262,0.000227056,0.000227056,0.000227056
25,1295.63,1.0587,1.14823,1.22964,0.5687,0.53118,0.59688,0.4429,1.23646,1.59726,1.44637,0.000224146,0.000224146,0.000224146
