epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.5506,1.33549,3.78251,1.51073,0.18896,0.31428,0.18742,0.13802,1.24444,2.6571,1.34592,9.71552e-05,9.71552e-05,9.71552e-05
2,130.847,1.27959,2.59037,1.36497,0.50183,0.29344,0.29455,0.2088,1.23488,2.30825,1.35069,0.000193223,0.000193223,0.000193223
3,177.404,1.26572,2.31007,1.36588,0.35798,0.37396,0.32162,0.21488,1.2882,2.29577,1.40389,0.000287351,0.000287351,0.000287351
4,223.172,1.25557,2.12614,1.33674,0.46628,0.44781,0.35821,0.24607,1.28119,2.42418,1.35867,0.000285268,0.000285268,0.000285268
5,268.972,1.23743,2.0089,1.34871,0.37655,0.43198,0.40373,0.27628,1.26102,1.83707,1.40776,0.000282358,0.000282358,0.000282358
6,314.176,1.23992,1.91291,1.32959,0.63424,0.42094,0.47414,0.33795,1.24847,1.96485,1.33945,0.000279447,0.000279447,0.000279447
7,360.664,1.21437,1.83195,1.3104,0.37237,0.46299,0.42061,0.2989,1.22498,1.97191,1.32233,0.000276536,0.000276536,0.000276536
8,407.065,1.18902,1.78298,1.3096,0.6003,0.44886,0.49467,0.35438,1.24147,1.72176,1.36068,0.000273626,0.000273626,0.000273626
9,452.717,1.1949,1.74086,1.30836,0.41728,0.47162,0.47943,0.34828,1.24628,1.94467,1.33862,0.000270715,0.000270715,0.000270715
10,498.66,1.18391,1.65554,1.29903,0.64016,0.47677,0.51616,0.37384,1.21822,1.76916,1.30801,0.000267805,0.000267805,0.000267805
11,544.87,1.17134,1.60242,1.29257,0.45274,0.49654,0.42935,0.30553,1.24115,1.99632,1.34284,0.000264894,0.000264894,0.000264894
12,590.931,1.15043,1.55641,1.2787,0.41831,0.54591,0.50031,0.35804,1.2255,1.65238,1.36811,0.000261983,0.000261983,0.000261983
13,636.567,1.14934,1.45374,1.27421,0.46972,0.61783,0.58235,0.41621,1.21892,1.55943,1.3471,0.000259073,0.000259073,0.000259073
14,682.624,1.14429,1.45293,1.27689,0.44389,0.65573,0.57298,0.4164,1.21449,1.57521,1.3424,0.000256162,0.000256162,0.000256162
15,728.941,1.13802,1.43553,1.27724,0.51167,0.60013,0.53827,0.38231,1.2072,1.60105,1.33128,0.000253252,0.000253252,0.000253252
16,775.241,1.11766,1.3791,1.26085,0.53883,0.63387,0.63732,0.46853,1.21417,1.43768,1.35123,0.000250341,0.000250341,0.000250341
17,822.237,1.1222,1.38548,1.26858,0.47108,0.5952,0.53285,0.38456,1.21952,1.83346,1.33888,0.00024743,0.00024743,0.00024743
18,867.032,1.10256,1.33609,1.2511,0.62019,0.48273,0.57987,0.42524,1.19796,1.61895,1.3284,0.00024452,0.00024452,0.00024452
19,913.922,1.11565,1.28048,1.25704,0.62574,0.59766,0.66092,0.47278,1.25641,1.39068,1.3778,0.000241609,0.000241609,0.000241609
20,959.199,1.10559,1.26143,1.26266,0.57597,0.52175,0.55066,0.39774,1.21632,1.48262,1.36369,0.000238699,0.000238699,0.000238699
21,1005.74,1.10207,1.23861,1.2485,0.50494,0.62601,0.58037,0.42529,1.21829,1.54594,1.3423,0.000235788,0.000235788,0.000235788
22,1051.99,1.09868,1.22086,1.25522,0.45314,0.69736,0.60015,0.42997,1.19369,1.54359,1.32827,0.000232877,0.000232877,0.000232877
